,NAME,Total Population,"Not Hispanic, White","Not Hispanic, Black","Not Hispanic, American Indian","Not Hispanic, Asian","Not Hispanic, Native Hawaiian","Not Hispanic, Other","Not Hispanic, Two or More Races",Hispanic,Median HH Income,state,county,tract
125,"Census Tract 162, Philadelphia County, Pennsylvania",2315.0,89.0,236.0,0.0,207.0,0.0,0.0,23.0,1760.0,32059.0,42,101,016200
126,"Census Tract 163, Philadelphia County, Pennsylvania",3204.0,265.0,372.0,0.0,82.0,0.0,0.0,2.0,2483.0,19269.0,42,101,016300
127,"Census Tract 164, Philadelphia County, Pennsylvania",4410.0,155.0,1541.0,44.0,212.0,0.0,0.0,42.0,2416.0,18814.0,42,101,016400
128,"Census Tract 165, Philadelphia County, Pennsylvania",3121.0,13.0,2532.0,6.0,63.0,0.0,5.0,0.0,502.0,15995.0,42,101,016500
129,"Census Tract 166, Philadelphia County, Pennsylvania",1998.0,289.0,1258.0,0.0,305.0,0.0,0.0,19.0,127.0,-666666666.0,42,101,016600
130,"Census Tract 167.01, Philadelphia County, Pennsylvania",3319.0,115.0,3074.0,0.0,0.0,0.0,0.0,47.0,83.0,29697.0,42,101,016701
131,"Census Tract 167.02, Philadelphia County, Pennsylvania",2378.0,211.0,2122.0,0.0,0.0,0.0,0.0,0.0,45.0,25263.0,42,101,016702
132,"Census Tract 168, Philadelphia County, Pennsylvania",2871.0,19.0,2792.0,0.0,0.0,0.0,3.0,42.0,15.0,12960.0,42,101,016800
133,"Census Tract 169.01, Philadelphia County, Pennsylvania",3540.0,9.0,3457.0,0.0,27.0,0.0,0.0,0.0,47.0,30403.0,42,101,016901
134,"Census Tract 169.02, Philadelphia County, Pennsylvania",2847.0,32.0,2742.0,0.0,0.0,0.0,25.0,0.0,48.0,19616.0,42,101,016902
135,"Census Tract 170, Philadelphia County, Pennsylvania",3217.0,589.0,2366.0,16.0,45.0,0.0,0.0,64.0,137.0,39643.0,42,101,017000
136,"Census Tract 171, Philadelphia County, Pennsylvania",3240.0,41.0,2899.0,0.0,10.0,0.0,0.0,99.0,191.0,26025.0,42,101,017100
137,"Census Tract 172.01, Philadelphia County, Pennsylvania",2576.0,3.0,2282.0,0.0,190.0,0.0,0.0,0.0,101.0,-666666666.0,42,101,017201
138,"Census Tract 172.02, Philadelphia County, Pennsylvania",3681.0,14.0,3630.0,36.0,0.0,0.0,0.0,1.0,0.0,24099.0,42,101,017202
139,"Census Tract 173, Philadelphia County, Pennsylvania",2547.0,75.0,2111.0,57.0,2.0,0.0,0.0,16.0,286.0,20951.0,42,101,017300
140,"Census Tract 174, Philadelphia County, Pennsylvania",2570.0,37.0,2108.0,0.0,14.0,0.0,0.0,126.0,285.0,28149.0,42,101,017400
141,"Census Tract 175, Philadelphia County, Pennsylvania",6928.0,137.0,1622.0,0.0,0.0,0.0,0.0,0.0,5169.0,25334.0,42,101,017500
142,"Census Tract 176.01, Philadelphia County, Pennsylvania",4584.0,161.0,202.0,12.0,0.0,0.0,42.0,0.0,4167.0,19125.0,42,101,017601
143,"Census Tract 176.02, Philadelphia County, Pennsylvania",4220.0,259.0,501.0,0.0,296.0,0.0,0.0,0.0,3164.0,23516.0,42,101,017602
144,"Census Tract 177.01, Philadelphia County, Pennsylvania",3515.0,379.0,732.0,20.0,39.0,0.0,0.0,69.0,2276.0,18516.0,42,101,017701
145,"Census Tract 177.02, Philadelphia County, Pennsylvania",4705.0,391.0,780.0,0.0,0.0,0.0,0.0,21.0,3513.0,25417.0,42,101,017702
146,"Census Tract 178, Philadelphia County, Pennsylvania",6408.0,1496.0,1770.0,6.0,36.0,0.0,22.0,500.0,2578.0,27619.0,42,101,017800
147,"Census Tract 179, Philadelphia County, Pennsylvania",6111.0,1855.0,1200.0,0.0,24.0,0.0,0.0,205.0,2827.0,39672.0,42,101,017900
148,"Census Tract 180.01, Philadelphia County, Pennsylvania",2358.0,1875.0,49.0,0.0,0.0,0.0,0.0,159.0,275.0,55577.0,42,101,018001
149,"Census Tract 180.02, Philadelphia County, Pennsylvania",6276.0,4475.0,73.0,0.0,320.0,0.0,0.0,964.0,444.0,60641.0,42,101,018002
150,"Census Tract 183, Philadelphia County, Pennsylvania",4092.0,3979.0,3.0,0.0,0.0,0.0,0.0,44.0,66.0,70476.0,42,101,018300
151,"Census Tract 184, Philadelphia County, Pennsylvania",2377.0,2209.0,1.0,6.0,14.0,0.0,0.0,21.0,126.0,57365.0,42,101,018400
152,"Census Tract 188.01, Philadelphia County, Pennsylvania",3972.0,602.0,289.0,0.0,0.0,0.0,0.0,1.0,3080.0,19409.0,42,101,018801
153,"Census Tract 188.02, Philadelphia County, Pennsylvania",4884.0,534.0,807.0,0.0,0.0,0.0,0.0,2.0,3541.0,40262.0,42,101,018802
154,"Census Tract 190, Philadelphia County, Pennsylvania",7913.0,815.0,856.0,0.0,345.0,0.0,48.0,0.0,5849.0,36368.0,42,101,019000
155,"Census Tract 191, Philadelphia County, Pennsylvania",8167.0,1138.0,733.0,0.0,849.0,0.0,0.0,91.0,5356.0,45104.0,42,101,019100
156,"Census Tract 192, Philadelphia County, Pennsylvania",8652.0,813.0,1479.0,0.0,391.0,0.0,0.0,0.0,5969.0,19205.0,42,101,019200
157,"Census Tract 195.01, Philadelphia County, Pennsylvania",4617.0,387.0,126.0,1.0,0.0,0.0,0.0,0.0,4103.0,18804.0,42,101,019501
158,"Census Tract 195.02, Philadelphia County, Pennsylvania",3955.0,336.0,283.0,0.0,0.0,0.0,0.0,177.0,3159.0,25202.0,42,101,019502
159,"Census Tract 197, Philadelphia County, Pennsylvania",6778.0,203.0,1742.0,0.0,330.0,0.0,0.0,0.0,4503.0,28798.0,42,101,019700
160,"Census Tract 198, Philadelphia County, Pennsylvania",6631.0,212.0,1609.0,0.0,262.0,0.0,0.0,104.0,4444.0,30958.0,42,101,019800
161,"Census Tract 199, Philadelphia County, Pennsylvania",4811.0,71.0,1369.0,0.0,0.0,0.0,0.0,20.0,3351.0,20597.0,42,101,019900
162,"Census Tract 200, Philadelphia County, Pennsylvania",1420.0,106.0,1064.0,0.0,10.0,0.0,0.0,9.0,231.0,9276.0,42,101,020000
163,"Census Tract 201.01, Philadelphia County, Pennsylvania",3196.0,159.0,2719.0,0.0,87.0,0.0,0.0,37.0,194.0,17500.0,42,101,020101
164,"Census Tract 201.02, Philadelphia County, Pennsylvania",3508.0,25.0,3286.0,13.0,0.0,9.0,0.0,0.0,175.0,36462.0,42,101,020102
165,"Census Tract 202, Philadelphia County, Pennsylvania",4529.0,117.0,3810.0,0.0,8.0,0.0,0.0,436.0,158.0,23138.0,42,101,020200
166,"Census Tract 203, Philadelphia County, Pennsylvania",3207.0,61.0,2791.0,0.0,12.0,0.0,0.0,0.0,343.0,30474.0,42,101,020300
167,"Census Tract 204, Philadelphia County, Pennsylvania",3127.0,87.0,2695.0,0.0,0.0,0.0,0.0,50.0,295.0,30262.0,42,101,020400
168,"Census Tract 205, Philadelphia County, Pennsylvania",2210.0,46.0,1994.0,0.0,109.0,0.0,0.0,0.0,61.0,17392.0,42,101,020500
169,"Census Tract 206, Philadelphia County, Pennsylvania",1770.0,1077.0,318.0,0.0,99.0,0.0,11.0,27.0,238.0,57083.0,42,101,020600
170,"Census Tract 207.01, Philadelphia County, Pennsylvania",4130.0,3286.0,247.0,0.0,203.0,0.0,27.0,196.0,171.0,100368.0,42,101,020701
171,"Census Tract 207.02, Philadelphia County, Pennsylvania",1781.0,1233.0,259.0,0.0,94.0,0.0,0.0,110.0,85.0,112243.0,42,101,020702
172,"Census Tract 208, Philadelphia County, Pennsylvania",2432.0,1230.0,681.0,0.0,235.0,0.0,0.0,130.0,156.0,83021.0,42,101,020800
